data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,label
337,339,328,315,311,301,294,293,292,293,301,324,341,373,440,508,610,755,898,1132,1328,1537,1854,2118,2375,2784,3107,3474,3992,4424,5004,5444,5932,6576,7070,7577,8271,8786,9483,9996,10492,11159,11655,12156,12823,13307,13805,14462,14957,15609,16096,16571,17199,17664,18116,18714,19157,19744,20187,20628,21219,21661,22105,22715,23184,23665,24313,24807,25480,25991,26512,27216,27757,28309,29080,29661,30444,31031,31619,32393,33004,33587,34361,34974,35544,36306,36863,37621,38181,38712,39432,39959,40455,41113,41582,42205,42661,43095,43674,44085,44468,45011,45365,45715,46160,46480,46896,47183,47446,47790,48021,48241,48512,48702,48929,49068,49194,49330,49414,49484,49557,49575,49574,49558,49510,49423,49322,49195,49007,48815,48609,48269,47990,47561,47198,46812,46238,45756,45238,44509,43910,43279,42366,41643,40598,39769,38899,37671,36695,35678,34260,33145,31605,30411,29183,27507,26224,24922,23166,21833,20487,18691,17339,15538,14190,12847,11067,9740,8472,7027,6091,5003,4312,3690,2959,2489,2081,1618,1322,965,757,572,360,230,135,47,36,27,36,26,25,25,30,23,26,21,34,23,17,13,0
266,258,250,239,234,224,213,206,213,237,241,267,293,324,382,436,511,632,752,962,1148,1351,1658,1908,2188,2584,2928,3287,3807,4233,4834,5291,5767,6436,6948,7458,8155,8679,9372,9891,10403,11083,11592,12091,12758,13252,13742,14396,14905,15568,16067,16563,17202,17674,18146,18758,19221,19834,20282,20756,21353,21800,22273,22881,23349,23830,24497,25005,25680,26192,26727,27433,27983,28554,29298,29871,30655,31244,31823,32609,33208,33794,34570,35155,35740,36509,37080,37827,38375,38911,39619,40134,40635,41286,41762,42376,42822,43262,43820,44217,44604,45108,45468,45806,46232,46539,46932,47215,47478,47812,48048,48250,48502,48674,48877,49005,49132,49256,49326,49381,49461,49487,49478,49451,49408,49305,49197,49082,48866,48671,48455,48119,47833,47395,47060,46646,46061,45585,45076,44324,43724,43085,42171,41434,40388,39561,38683,37447,36466,35453,34032,32927,31399,30217,29019,27375,26118,24859,23142,21836,20084,18747,17414,15640,14308,12965,11202,9886,8621,7169,6235,5141,4422,3781,3035,2555,2127,1645,1335,975,738,541,323,192,98,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,400,381,364,353,349,332,328,327,322,328,341,370,399,460,525,626,775,922,1145,1334,1545,1838,2092,2365,2755,3104,3470,3981,4407,5000,5458,5950,6622,7133,7658,8366,8897,9610,10148,10666,11364,11874,12379,13052,13552,14047,14707,15204,15850,16329,16804,17428,17886,18340,18940,19388,19988,20438,20891,21492,21946,22403,23026,23502,23974,24612,25096,25747,26244,26764,27470,28006,28544,29278,29822,30561,31133,31684,32429,32999,33577,34344,34908,35497,36254,36827,37582,38131,38666,39381,39894,40397,41089,41577,42224,42685,43140,43740,44169,44589,45149,45522,45885,46352,46693,47116,47413,47694,48059,48313,48542,48829,49018,49241,49393,49525,49665,49748,49834,49888,49909,49910,49888,49845,49734,49640,49517,49302,49098,48890,48544,48274,47843,47471,47059,46467,45984,45459,44712,44107,43463,42540,41807,40748,39907,39026,37785,36807,35782,34352,33235,31687,30489,29267,27591,26314,25018,23266,21941,20154,18806,17460,15662,14316,12969,11183,9851,8586,7147,6210,5122,4417,3789,3038,2547,2120,1665,1353,999,768,565,356,227,126,51,28,17,25,22,41,31,25,34,27,23,13,9,7,2,0
282,273,273,268,269,273,270,273,290,303,332,354,392,434,509,588,697,874,1049,1297,1502,1714,2022,2271,2539,2946,3284,3648,4173,4588,5171,5631,6101,6759,7271,7788,8485,9012,9712,10233,10755,11440,11951,12457,13127,13629,14130,14801,15308,15976,16473,16968,17631,18124,18607,19236,19690,20296,20751,21208,21833,22302,22771,23393,23909,24399,25088,25595,26301,26805,27311,28038,28579,29130,29891,30468,31238,31819,32390,33162,33737,34318,35103,35679,36243,37000,37556,38300,38843,39399,40108,40632,41147,41820,42300,42936,43399,43851,44430,44849,45254,45768,46143,46497,46949,47271,47676,47971,48251,48569,48798,49002,49250,49435,49635,49761,49865,49983,50063,50149,50180,50188,50192,50145,50086,49976,49862,49724,49505,49304,49082,48736,48445,48005,47640,47240,46650,46167,45640,44893,44289,43644,42719,41982,40931,40091,39215,37965,36982,35953,34556,33448,31921,30727,29511,27840,26547,25257,23513,22171,20370,19020,17671,15860,14515,13161,11378,10041,8754,7279,6316,5208,4492,3843,3084,2583,2146,1691,1367,1005,769,565,344,209,121,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,336,329,326,320,317,311,317,319,327,335,350,373,402,461,521,597,732,853,1054,1228,1437,1728,1965,2230,2624,2941,3301,3811,4211,4780,5231,5710,6364,6883,7396,8094,8624,9321,9857,10378,11074,11575,12088,12741,13238,13760,14409,14901,15556,16046,16539,17192,17683,18167,18800,19268,19876,20326,20774,21352,21795,22242,22856,23313,23783,24418,24904,25557,26058,26572,27269,27809,28344,29101,29671,30429,31006,31601,32397,33007,33613,34416,35024,35621,36418,36999,37789,38374,38923,39657,40203,40727,41418,41906,42543,43016,43469,44058,44482,44893,45408,45772,46128,46578,46891,47284,47557,47817,48137,48357,48559,48801,48963,49161,49286,49388,49502,49567,49628,49682,49698,49697,49638,49581,49474,49367,49225,49004,48815,48598,48258,47978,47550,47185,46800,46222,45743,45232,44501,43900,43265,42368,41640,40619,39783,38941,37698,36724,35698,34282,33170,31621,30422,29196,27546,26263,24973,23238,21916,20137,18793,17451,15668,14328,13008,11229,9918,8630,7170,6228,5132,4415,3799,3043,2561,2134,1651,1351,994,765,577,356,235,129,40,28,22,10,8,21,14,6,0,0,0,0,0,0,0,0
580,584,602,627,633,646,671,682,698,721,748,792,803,844,903,945,1005,1126,1241,1427,1591,1761,2014,2214,2431,2749,3015,3312,3757,4127,4684,5129,5597,6250,6754,7264,7969,8504,9213,9743,10269,10965,11482,11999,12679,13205,13708,14392,14902,15578,16092,16614,17285,17804,18298,18980,19471,20112,20583,21044,21656,22120,22574,23182,23662,24135,24760,25236,25884,26370,26862,27531,28038,28549,29236,29759,30475,31011,31553,32294,32836,33390,34130,34676,35217,35943,36478,37178,37707,38215,38885,39381,39883,40540,41021,41629,42083,42511,43068,43478,43875,44393,44744,45091,45563,45873,46270,46556,46820,47149,47370,47587,47836,47998,48199,48324,48432,48555,48625,48688,48735,48748,48744,48695,48639,48550,48442,48309,48103,47917,47710,47377,47112,46690,46336,45957,45389,44928,44416,43700,43116,42498,41610,40942,39926,39110,38255,37068,36102,35098,33727,32651,31113,29944,28729,27067,25792,24513,22765,21442,19672,18333,16999,15217,13882,12551,10785,9475,8240,6834,5923,4858,4170,3554,2828,2360,1954,1505,1214,875,657,469,261,147,61,0,0,0,0,0,0,0,8,29,37,27,24,24,21,30,0
352,335,337,318,309,299,298,298,291,291,321,333,357,393,466,540,630,784,925,1151,1351,1548,1838,2072,2315,2679,2987,3325,3825,4230,4801,5251,5719,6363,6860,7368,8062,8584,9300,9833,10362,11052,11570,12080,12756,13267,13766,14443,14941,15618,16124,16587,17201,17660,18139,18753,19204,19818,20285,20727,21340,21801,22266,22889,23374,23858,24519,25024,25709,26224,26751,27461,28007,28563,29315,29889,30658,31227,31798,32565,33161,33725,34502,35071,35643,36390,36946,37671,38214,38756,39438,39954,40440,41092,41565,42188,42652,43091,43658,44056,44462,44955,45320,45674,46114,46433,46833,47107,47398,47712,47935,48149,48401,48572,48776,48910,49026,49154,49231,49295,49347,49366,49362,49332,49278,49172,49068,48935,48730,48542,48328,47999,47713,47285,46925,46534,45976,45504,45006,44280,43681,43039,42146,41398,40356,39517,38638,37418,36447,35429,34011,32891,31356,30179,28941,27259,25973,24665,22914,21592,19821,18495,17157,15371,14038,12712,10946,9632,8380,6955,6028,4954,4257,3634,2899,2427,2013,1563,1277,931,707,513,317,190,94,15,0,0,0,3,5,4,10,17,14,7,17,10,1,4,0
296,301,289,291,284,300,297,297,286,303,308,343,363,396,486,545,637,806,951,1216,1400,1612,1904,2156,2437,2839,3176,3547,4071,4484,5071,5530,6006,6660,7168,7684,8381,8901,9587,10103,10612,11290,11789,12282,12946,13449,13952,14626,15130,15793,16289,16778,17429,17911,18398,19020,19494,20110,20551,20998,21620,22084,22576,23222,23721,24213,24881,25372,26052,26570,27077,27769,28327,28849,29571,30134,30869,31444,31997,32734,33298,33860,34610,35171,35757,36489,37024,37751,38293,38819,39532,40031,40540,41203,41680,42306,42753,43203,43788,44207,44614,45138,45515,45869,46336,46662,47073,47368,47644,47983,48230,48456,48746,48925,49139,49280,49410,49566,49644,49704,49753,49770,49774,49741,49693,49587,49476,49338,49117,48930,48712,48369,48077,47641,47272,46874,46285,45807,45286,44541,43943,43299,42387,41652,40613,39784,38912,37683,36708,35692,34275,33191,31672,30486,29276,27611,26328,25041,23278,21941,20154,18798,17453,15659,14303,12948,11162,9841,8568,7121,6189,5090,4365,3722,2982,2496,2079,1609,1306,947,716,524,302,183,88,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,418,419,415,409,407,415,434,439,467,482,487,511,538,604,644,715,856,970,1144,1305,1484,1746,1964,2215,2588,2898,3234,3734,4126,4709,5161,5630,6316,6814,7329,8027,8560,9274,9796,10332,11018,11525,12027,12699,13201,13719,14375,14877,15522,16006,16481,17112,17562,18016,18603,19048,19634,20083,20520,21114,21576,22045,22684,23157,23640,24304,24798,25464,25988,26509,27223,27750,28299,29087,29643,30406,30975,31550,32318,32898,33484,34260,34836,35404,36170,36732,37485,38027,38571,39280,39806,40319,40980,41472,42107,42574,43033,43614,44040,44451,44976,45352,45715,46183,46525,46951,47251,47531,47884,48134,48350,48618,48809,49021,49156,49287,49425,49524,49584,49651,49686,49684,49664,49607,49505,49407,49279,49056,48867,48646,48307,48017,47588,47228,46828,46243,45763,45248,44506,43915,43262,42342,41613,40579,39746,38868,37631,36663,35643,34223,33116,31579,30388,29175,27526,26249,24965,23225,21893,20109,18782,17438,15665,14329,12988,11203,9891,8610,7153,6209,5109,4397,3770,3038,2546,2115,1633,1327,970,739,540,323,190,96,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,326,312,294,293,289,280,277,271,264,269,290,317,346,403,462,549,678,820,1037,1233,1451,1772,2034,2309,2719,3057,3423,3953,4382,4974,5434,5931,6583,7082,7600,8292,8817,9510,10025,10555,11226,11725,12242,12888,13374,13867,14532,15036,15709,16220,16737,17417,17935,18423,19066,19532,20163,20635,21104,21728,22204,22673,23314,23811,24307,24984,25494,26181,26704,27224,27929,28471,29019,29762,30329,31081,31649,32221,33018,33604,34191,34975,35550,36122,36883,37430,38163,38691,39221,39915,40416,40921,41567,42034,42637,43097,43519,44071,44489,44863,45366,45708,46022,46455,46758,47126,47388,47637,47950,48170,48372,48637,48799,48995,49118,49231,49353,49433,49491,49543,49551,49545,49515,49454,49353,49244,49110,48892,48696,48483,48138,47844,47420,47052,46682,46089,45622,45098,44378,43773,43131,42230,41500,40462,39633,38766,37543,36586,35573,34160,33050,31536,30346,29134,27492,26231,24950,23220,21909,20151,18813,17473,15687,14350,13012,11237,9910,8625,7166,6223,5114,4401,3764,3010,2519,2092,1637,1343,987,773,584,377,256,149,54,18,11,34,43,38,28,19,14,17,19,26,43,41,29,0
